level,experience_points,proficiency_bonus,source,version
1,0,+2,PHB (2024),2024
2,300,+2,PHB (2024),2024
3,900,+2,PHB (2024),2024
4,2700,+2,PHB (2024),2024
5,6500,+3,PHB (2024),2024
6,14000,+3,PHB (2024),2024
7,23000,+3,PHB (2024),2024
8,34000,+3,PHB (2024),2024
9,48000,+4,PHB (2024),2024
10,64000,+4,PHB (2024),2024
11,85000,+4,PHB (2024),2024
12,100000,+4,PHB (2024),2024
13,120000,+5,PHB (2024),2024
14,140000,+5,PHB (2024),2024
15,165000,+5,PHB (2024),2024
16,195000,+5,PHB (2024),2024
17,225000,+6,PHB (2024),2024
18,265000,+6,PHB (2024),2024
19,305000,+6,PHB (2024),2024
20,355000,+6,PHB (2024),2024
