class_id,level,proficiency_bonus,class_features,source,version
CLS_BARBARIAN,1,+2,"Rage, Unarmored Defense, Weapon Mastery",PHB (2024),2024
CLS_BARBARIAN,2,+2,"Danger Sense, Reckless Attack",PHB (2024),2024
CLS_BARBARIAN,3,+2,"Barbarian Subclass, Primal Knowledge",PHB (2024),2024
CLS_BARBARIAN,4,+2,Ability Score Improvement,PHB (2024),2024
CLS_ROGUE,1,+2,"Expertise, Sneak Attack, Thieves' Cant, Weapon Mastery",PHB (2024),2024
CLS_ROGUE,2,+2,"Cunning Action",PHB (2024),2024
CLS_ROGUE,3,+2,"Rogue Subclass, Steady Aim",PHB (2024),2024
CLS_ROGUE,4,+2,Ability Score Improvement,PHB (2024),2024
CLS_ROGUE,5,+3,"Cunning Strike, Uncanny Dodge",PHB (2024),2024
CLS_ROGUE,7,+3,"Evasion, Reliable Talent",PHB (2024),2024
CLS_ROGUE,11,+4,"Improved Cunning Strike",PHB (2024),2024
CLS_ROGUE,14,+5,"Devious Strikes",PHB (2024),2024
CLS_ROGUE,15,+5,"Slippery Mind",PHB (2024),2024
CLS_ROGUE,18,+6,"Elusive",PHB (2024),2024
CLS_ROGUE,19,+6,"Epic Boon",PHB (2024),2024
CLS_ROGUE,20,+6,"Stroke of Luck",PHB (2024),2024
CLS_BARBARIAN,5,+3,"Extra Attack, Fast Movement",PHB (2024),2024
CLS_BARBARIAN,6,+3,Subclass feature,PHB (2024),2024
CLS_BARBARIAN,7,+3,"Feral Instinct, Instinctive Pounce",PHB (2024),2024
CLS_BARBARIAN,8,+3,Ability Score Improvement,PHB (2024),2024
CLS_BARBARIAN,9,+4,Brutal Strike,PHB (2024),2024
CLS_BARBARIAN,10,+4,Subclass feature,PHB (2024),2024
CLS_BARBARIAN,11,+4,Relentless Rage,PHB (2024),2024
CLS_BARBARIAN,12,+4,Ability Score Improvement,PHB (2024),2024
CLS_BARBARIAN,13,+5,Improved Brutal Strike,PHB (2024),2024
CLS_BARBARIAN,14,+5,Subclass feature,PHB (2024),2024
CLS_BARBARIAN,15,+5,Persistent Rage,PHB (2024),2024
CLS_BARBARIAN,16,+5,Ability Score Improvement,PHB (2024),2024
