feature_id,class_id,subclass_id,level_gained,name,summary,action_type,uses,recharge,source,version
CF_WIZARD_SPELLCASTING,CLS_WIZARD,,1,Spellcasting,Wizard spellcasting with spellbook.,,,,PHB (2024),2024
CF_BARBARIAN_RAGE,CLS_BARBARIAN,,1,Rage,Enter a rage for bonuses (placeholder).,Bonus Action,Varies by level,Long Rest,PHB (2024),2024
CF_BARD_BARDIC_INSPIRATION,CLS_BARD,,1,Bardic Inspiration,"Bonus Action inspire; die scales with level.",Bonus Action,"Cha mod",Long Rest,PHB (2024),2024
CF_BARD_SPELLCASTING,CLS_BARD,,1,Spellcasting,Bard spellcasting and prepared spells.,,,,PHB (2024),2024
CF_BARD_EXPERTISE,CLS_BARD,,2,Expertise,Double proficiency in two skills (and two more at level 9).,,,,PHB (2024),2024
CF_BARD_JACK_OF_ALL_TRADES,CLS_BARD,,2,Jack of All Trades,Add half proficiency to unproficient checks.,,,,PHB (2024),2024
CF_BARD_SUBCLASS,CLS_BARD,,3,Bard Subclass,Choose a Bard subclass.,,,,PHB (2024),2024
CF_BARD_ASI,CLS_BARD,,4,Ability Score Improvement,Gain ASI or feat (levels 4,8,12,16).,,,,PHB (2024),2024
CF_BARD_FONT_OF_INSPIRATION,CLS_BARD,,5,Font of Inspiration,Regain Bardic Inspiration on short or long rest.,,,,PHB (2024),2024
CF_BARD_COUNTERCHARM,CLS_BARD,,7,Countercharm,"Reaction to reroll failed save vs charmed or frightened with advantage.",Reaction,,,PHB (2024),2024
CF_BARD_MAGICAL_SECRETS,CLS_BARD,,10,Magical Secrets,"Choose prepared spells from Bard, Cleric, Druid, Wizard.",,,,PHB (2024),2024
CF_BARD_SUPERIOR_INSPIRATION,CLS_BARD,,18,Superior Inspiration,Regain Bardic Inspiration on initiative if below two.,,,,PHB (2024),2024
CF_BARD_EPIC_BOON,CLS_BARD,,19,Epic Boon,Gain an Epic Boon feat or another feat.,,,,PHB (2024),2024
CF_BARD_WORDS_OF_CREATION,CLS_BARD,,20,Words of Creation,"Always have Power Word Heal and Power Word Kill prepared; can target two.",,,,PHB (2024),2024
CF_BARD_LORE_BONUS_PROF,CLS_BARD,SUB_BARD_LORE,3,Bonus Proficiencies,Gain proficiency with three skills of your choice.,,,,PHB (2024),2024
CF_BARD_LORE_CUTTING_WORDS,CLS_BARD,SUB_BARD_LORE,3,Cutting Words,Reaction to reduce a creature roll with Bardic Inspiration.,Reaction,,,PHB (2024),2024
CF_BARD_LORE_MAGICAL_DISCOVERIES,CLS_BARD,SUB_BARD_LORE,6,Magical Discoveries,Learn two spells that are always prepared and can be swapped on level up.,,,,PHB (2024),2024
CF_BARD_LORE_PEERLESS_SKILL,CLS_BARD,SUB_BARD_LORE,14,Peerless Skill,Reaction to add Bardic Inspiration die to a failed roll.,Reaction,,,PHB (2024),2024
CF_BARD_DANCE_DAZZLING_FOOTWORK,CLS_BARD,SUB_BARD_DANCE,3,Dazzling Footwork,Unarmored dance benefits and agile strikes.,,,,PHB (2024),2024
CF_BARD_DANCE_INSPIRING_MOVEMENT,CLS_BARD,SUB_BARD_DANCE,6,Inspiring Movement,Reaction move and allow an ally to move without OA.,Reaction,,,PHB (2024),2024
CF_BARD_DANCE_TANDEM_FOOTWORK,CLS_BARD,SUB_BARD_DANCE,6,Tandem Footwork,Spend Bardic Inspiration on initiative to boost allies.,,,,PHB (2024),2024
CF_BARD_DANCE_LEADING_EVASION,CLS_BARD,SUB_BARD_DANCE,14,Leading Evasion,Evasion that can apply to nearby allies on same save.,,,,PHB (2024),2024
