name,size,type,alignment,ac,initiative,hp,speed,abilities,skills,senses,languages,cr,traits,actions,bonus_actions,reactions
Ape,Medium,Beast,Unaligned,12,+2 (12),19 (3d8 + 6),"30 ft., Climb 30 ft.","STR 16, DEX 14, CON 14, INT 6, WIS 12, CHA 7",,Passive Perception 13,None,1/2 (XP 100; PB +2),,"Multiattack. The ape makes two Fist attacks. Fist. Melee Attack Roll: +5, reach 5 ft. Hit: 5 (1d4 + 3) Bludgeoning damage. Rock (Recharge 6). Ranged Attack Roll: +5, range 25/50 ft. Hit: 10 (2d6 + 3) Bludgeoning damage.",,
Badger,Tiny,Beast,Unaligned,11,+0 (10),5 (1d4 + 3),"20 ft., Burr ow 5 ft.","STR 10, DEX 11, CON 16, INT 2, WIS 12, CHA 5",,Darkvision 30 ft.; Passive Perception 13,None,0 (XP 10; PB +2),Resistances Poison,"Bite. Melee Attack Roll: +2, r each 5 ft. Hit: 1 Piercing damage.",,
Bat,Tiny,Beast,Unaligned,12,+2 (12),1 (1d4 - 1),"5 ft., Fly 30 ft.","STR 2, DEX 15, CON 8, INT 2, WIS 12, CHA 4",,,None,0 (XP 10; PB +2),,"Bite. Melee Attack Roll: +4, r each 5 ft. Hit: 1 Piercing damage.",,
Black Bear,Medium,Beast,Unaligned,11,+1 (11),19 (3d8 + 6),"30 ft., Climb 30 ft., Swim 30 ft.","STR 15, DEX 12, CON 14, INT 2, WIS 12, CHA 7",,Darkvision 60 ft.; Passive Perception 15,None,1/2 (XP 100; PB +2),,"Multiattack. The bear mak es two Rend attacks. Rend. Melee Attack Roll: +4, r each 5 ft. Hit: 5 (1d6 + 2) Slashing damage.",,
Boar,Medium,Beast,Unaligned,11,+0 (10),13 (2d8 + 4),40 ft.,"STR 13, DEX 11, CON 14, INT 2, WIS 9, CHA 5",,Passiv e Perception 9,None,1/4 (XP 50; PB +2),"Traits Bloodied F ury. While Bloodied , the boar has Advantage on attack rolls.","Gore. Melee Attack Roll: +3, r each 5 ft. Hit: 4 (1d6 + 1) Piercing damage. If the target is a Medium or smaller creature and the boar mo ved 20+ feet str aight toward it immediately before the hit, the target takes an extr a 3 (1d6) Piercing damage and has the Prone condition.",,
Brown Bear,Large,Beast,Unaligned,11,+1 (11),22 (3d10 + 6),"40 ft., Climb 30 ft.","STR 17, DEX 12, CON 15, INT 2, WIS 13, CHA 7",Perception +3,Darkvision 60 ft.; Passive Perception 13,None,1 (XP 200; PB +2),,"Multiattack. The bear mak es one Bite attack and one Claw attack. Bite. Melee Attack Roll: +5, r each 5 ft. Hit: 7 (1d8 + 3) Piercing damage. Claw . Melee Attack Roll: +5, r each 5 ft. Hit: 5 (1d4 + 3) Slashing damage. If the target is a Lar ge or smaller creature, it has the Prone condition.",,
Camel,Large,Beast,Unaligned,10,,17 (2d10 + 6),50 ft.,"STR 15, DEX 8, CON 17, INT 2, WIS 11, CHA 5",,,None,1/8 (XP 25;PB +2),,"Bite. Melee Attack Roll: +4, r each 5 ft. Hit: 4 (1d4 + 2) Bludgeoning damage.",,
Cat,Tiny,Beast,Unaligned,12,+2 (12),2 (1d4),"40 ft., Climb 40 ft.","STR 3, DEX 15, CON 10, INT 3, WIS 12","Perception +3, Stealth +4",Darkvision 60 ft.; Passive Perception 13,None,0 (XP 10; PB +2),CHA7 -2 -2 Traits Jumper . The cat’ s jump distance is determined using its Dexterity r ather than its Strength.,"Scratch. Melee Attack Roll: +4, r each 5 ft. Hit: 1 Slashing damage.",,
Constric Tor Sn Ake,Large,Beast,Unaligned,13,+2 (12),13 (2d10 + 2),"30 ft., Swim 30 ft.","STR 15, DEX 14, CON 12, INT 1, WIS 10, CHA 3","Perception +2, Stealth +4",Blindsight 10 ft.; P assiv e Perception 12,None,1/4 (XP 50; PB +2),,"Bite. Melee Attack Roll: +4, r each 5 ft. Hit: 6 (1d8 + 2) Piercing damage. Constrict. Strength Saving Throw: DC 12, one Medium or smaller creature the snak e can see within 5 feet. Failure: 7 (3d4) Bludgeoning damage, and the target has the Grappled condition (escape DC 12).",,
Crab,Tiny,Beast,Unaligned,11,+0 (10),3 (1d4 + 1),"20 ft., Swim 20 ft.","STR 6, DEX 11, CON 12, INT 1, WIS 8, CHA 2",,Blindsight 30 ft.; Passive Perception 9,None,0 (XP 10; PB +2),Traits Amphibious. The cr ab can br eathe air and water .,"Claw . Melee Attack Roll: +2, r each 5 ft. Hit: 1 Bludgeoning damage.",,
