term,definition
Ability Check,An ability check is a D20 Test that represents using one of the six abilities—or a specific skill associated with an ability— to overcome a challenge. See also chapter 1 (“ D20 Tests ” and “ Proficiency ”).
Ability Score and Modifier,"A creature has six ability scores—Strength, Dexterity , Constitution, Intelligence, Wisdom, and Charisma—each of which has a corresponding modifier . Add the modifier when you make a D20 Test with the corresponding ability or when a rule asks you to do so. See also chapter 1 (“ The Six Abilities ”)."
Action,"On your turn, you can take one action. Choose which action to take from those below or from the special actions provided by your features. See also chapter 1 (“ Actions ”). These actions are defined elsewhere in this glossary:"
Advantage,"If you have Advantage on a D20 Test, roll two d20s, and use the higher roll. A roll can ’t be affected by more than one Advantage, and Advantage and Disadvantage on the same roll cancel each other . See also chapter 1 (“ D20 Tests ”)."
Adventure,An adventure is a series of encounters. A story emerges through playing them. See also “Encounter .”
Alignment,"A creature’s alignment broadly describes its ethical attitudes and ideals. Alignment is a combination of two factors: one identifies morality (good, evil, or neutral), and the other describes attitudes toward order (lawful, chaotic, or neutral). These factors allow for nine possible combinations, such as Lawful Good and Neutral Evil. See also chapter 2 (“ Create Your Character ”)."
Ally,"A creature is your ally if it is a member of your adventuring party, your friend, on your side in combat, or a creature that the rules or the DM designates as your ally ."
Area of Effect,"The descriptions of many spells and other features specify that they have an area of effect, which typically has one of six shapes. These shapes are defined elsewhere in this glossary:"
Sphere,"An area of effect has a point of origin, a location from which the effect’s energy erupts. The rules for each shape specify how to position its point of origin. If all straight lines extending from the point of origin to a location in the area of effect are blocked, that location isn ’t included in the area of effect. To block a line, an obstruction must provide Total Cover. See also “Cover.” If the creator of an area of effect places it at an unseen point and an obstruction—such as a wall—is between the creator and that point, the point of origin comes into being on the near side of the obstruction."
Armor Class,"An Armor Class (A C) is the target number for an attack roll. A C represents how diﬃcult it is to hit a target. Your base A C calculation is 10 plus your Dexterity modifier . If a rule giv es you another base A C calculation, you choose which calculation to use; you can ’t use more than one. See also “Attack Roll .”"
