name,level,school,casting_time,range,components,duration,description
Create Food and Water,3rd,Conjuration,1 Action,30 ft.,"V, S",Instantaneous,"3rd 1 Action 30 ft. V, S Instantaneous Conjuration None Creation You create 45 pounds of food and 30 gallons of fresh water on the ground or in containers within range—both useful in fending off the hazards of malnutrition and dehydration. The food is bland but nourishing and looks like a food of your choice, and the water is clean. The food spoils after 24 hours if uneaten."
Create or Destroy Water,1st,Transmutation,1 Action,30 ft.,"V, S, M",Instantaneous,"Creation 1st 1 Action 30 ft. (30 ft. ) V, S, M * Instantaneous Transmutation None Creation You do one of the following: Create Water. You create up to 10 gallons of clean water within range in an open container. Alternatively, the water falls as rain in a 30-foot Cube within range, extinguishing exposed flames there. Destroy Water. You destroy up to 10 gallons of water in an open container within range. Alternatively, you destroy fog in a 30-foot Cube within range. Using a Higher-Level Spell Slot. You create or destroy 10 additional gallons of water, or the size of the Cube increases by 5 feet, for each spell slot level above 1. * - (a mix of water and sand)"
Create Undead,6th,Necromancy,1 Minute,10 ft.,"V, S, M",Instantaneous,"6th 1 Minute 10 ft. V, S, M * Instantaneous Necromancy None Control (...) You can cast this spell only at night. Choose up to three corpses of Medium or Small Humanoids within range. Each one becomes a Ghoul under your control (see the Monster Manual for its stat block). As a Bonus Action on each of your turns, you can mentally command any creature you animated with this spell if the creature is within 120 feet of you (if you control multiple creatures, you can command any of them at the same time, issuing the same command to them). You decide what action the creature will take and where it will move on its next turn, or you can issue a general command, such as to guard a particular place. If you issue no commands, the creature takes the Dodge action and moves only to avoid harm. Once given an order, the creature continues to follow the order until its task is complete. The creature is under your control for 24 hours, after which it stops obeying any command you’ve given it. To maintain control of the creature for another 24 hours, you must cast this spell on the creature before the current 24-hour period ends. This use of the spell reasserts your control over up to three creatures you have animated with this spell rather than animating new ones. Using a Higher-Level Spell Slot. If you use a level 7 spell slot, you can animate or reassert control over four Ghouls. If you use a level 8 spell slot, you can animate or reassert control over five Ghouls or two Ghasts or Wights. If you use a level 9 spell slot, you can animate or reassert control over six Ghouls, three Ghasts or Wights, or two Mummies. See the Monster Manual for these stat blocks. * - (one 150+ GP black onyx stone for each corpse)"
Creation,5th,Illusion,1 Minute,30 ft.,"V, S, M",Special,"Creation 5th 1 Minute 30 ft. (5 ft. ) V, S, M * Special Illusion None Creation You pull wisps of shadow material from the Shadowfell to create an object within range. It is either an object of vegetable matter (soft goods, rope, wood, and the like) or mineral matter (stone, crystal, metal, and the like). The object must be no larger than a 5-foot Cube, and the object must be of a form and material that you have seen. The spell’s duration depends on the object’s material, as shown in the Materials table. If the object is composed of multiple materials, use the shortest duration. Using any object created by this spell as another spell’s Material component causes the other spell to fail. Materials Material	Duration Vegetable matter	24 hours Stone or crystal	12 hours Precious metals	1 hour Gems	10 minutes Adamantine or mithral	1 minute Using a Higher-Level Spell Slot. The Cube increases by 5 feet for each spell slot level above 5. * - (a paintbrush)"
Crown of Madness,2nd,Concentration,"Enchantment • V, S",1 Minute,,1 Action,"WIS Save Charmed 2nd 1 Action 120 ft. V, S Concentration 1 Minute Enchantment WIS Save Charmed One creature that you can see within range must succeed on a Wisdom saving throw or have the Charmed condition for the duration. The creature succeeds automatically if it isn’t Humanoid. A spectral crown appears on the Charmed target's head, and it must use its action before moving on each of its turns to make a melee attack against a creature other than itself that you mentally choose. The target can act normally on its turn if you choose no creature or if no creature is within its reach. The target repeats the save at the end of each of its turns, ending the spell on itself on a success. On your later turns, you must take the Magic action to maintain control of the target, or the spell ends."
Crusader's Mantle,3rd,Concentration,Evocation • V,1 Minute,,1 Action,"(30 ft. ) Radiant 3rd 1 Action Self (30 ft. ) V Concentration 1 Minute Evocation None Radiant You radiate a magical aura in a 30-foot Emanation. While in the aura, you and your allies each deal an extra 1d4 Radiant damage when hitting with a weapon or an Unarmed Strike."
Cure Wounds,1st,Abjuration,1 Action,Touch,"V, S",Instantaneous,"1st 1 Action Touch V, S Instantaneous Abjuration None Healing A creature you touch regains a number of Hit Points equal to 2d8 plus your spellcasting ability modifier. Using a Higher-Level Spell Slot. The healing increases by 2d8 for each spell slot level above 1."
Dancing Lights,Cantrip,Concentration,"Illusion • V, S, M",1 Minute,,1 Action,"Utility Cantrip 1 Action 120 ft. V, S, M * Concentration 1 Minute Illusion None Utility You create up to four torch-size lights within range, making them appear as torches, lanterns, or glowing orbs that hover for the duration. Alternatively, you combine the four lights into one glowing Medium form that is vaguely humanlike. Whichever form you choose, each light sheds Dim Light in a 10-foot radius. As a Bonus Action, you can move the lights up to 60 feet to a space within range. A light must be within 20 feet of another light created by this spell, and a light vanishes if it exceeds the spell’s range. * - (a bit of phosphorus)"
Darkness,2nd,Concentration,"Evocation • V, M",10 Minutes,,1 Action,"(15 ft. ) Control 2nd 1 Action 60 ft. (15 ft. ) V, M * Concentration 10 Minutes Evocation None Control For the duration, magical Darkness spreads from a point within range and fills a 15-foot-radius Sphere. Darkvision can’t see through it, and nonmagical light can’t illuminate it. Alternatively, you cast the spell on an object that isn’t being worn or carried, causing the Darkness to fill a 15-foot Emanation originating from that object. Covering that object with something opaque, such as a bowl or helm, blocks the Darkness. If any of this spell’s area overlaps with an area of Bright Light or Dim Light created by a spell of level 2 or lower, that other spell is dispelled. * - (bat fur and a piece of coal)"
Darkvision,2nd,Transmutation,1 Action,Touch,"V, S, M",8 Hours,"2nd 1 Action Touch V, S, M * 8 Hours Transmutation None Buff For the duration, a willing creature you touch has Darkvision with a range of 150 feet. * - (a dried carrot)"
