name,level,school,casting_time,range,components,duration,description
Create Food and Water,3rd,Conjuration,Action,30 feet,"V, S",Instantaneous,"You cr eate 45 pounds of food and 30 gallons of fr esh water on the gr ound or in containers within range—both useful in fending off the hazar ds of malnutrition and dehy dration . The food is bland but nourishing and looks lik e a food of your choice, and the water is clean. The food spoils after 24 hours if uneaten."
Create or Destroy Water,1st,Transmutation,Action,30 feet,"V, S, M (a mix of water and sand)",Instantaneous,"You do one of the following: Create W ater. You cr eate up to 10 gallons of clean water within range in an open container . Alternativ ely, the water falls as rain in a 30-foot Cube within range, extinguishing exposed flames there. Destr oy Water. You destr oy up to 10 gallons of water in an open container within range. Alternativ ely, you destr oy fog in a 30-foot Cube within range. Using a Higher-Le vel Spell Slot. You cr eate or destr oy 10 additional gallons of water , or the siz e of the Cube incr eases by 5 feet, for each spell slot le vel abo ve 1."
Create Undead,6th,Necromancy,1 minute,10 feet,"V, S, M (one 150+ GP black onyx st one for each corpse)",Instantaneous,"You can cast this spell only at night. Choose up to thr ee corpses of Medium or Small Humanoids within range. Each one becomes a Ghoul under your contr ol (see the Monster Manual for its stat block). As a Bonus Action on each of your turns, you can mentally command any creature you animated with this spell if the creature is within 120 feet of you (if you contr ol multiple creatures, you can command any of them at the same time, issuing the same command to them). you decide what action the creature will take and wher e it will mo ve on its next turn, or you can issue a gener al command, such as to guar d a par ticular place. If you issue no commands, the creature takes the Dodge action and mo ves only to avoid harm. Once giv en an or der, the creature continues to follow the or der until its task is complete. The creature is under your contr ol for 24 hours, after which it st ops obe ying any command you’ve giv en it. To maintain contr ol of the creature for another 24 hours, you must cast this spell on the creature before the curr ent 24-hour period ends. This use of the spell r easser ts your contr ol over up to thr ee creatures you have animated with this spell r ather than animating new ones. Using a Higher-Le vel Spell Slot. If you use a le vel 7 spell slot, you can animate or r easser t contr ol over four Ghouls . If you use a le vel 8 spell slot, you can animate or r easser t contr ol over fiv e Ghouls or two Ghasts or Wights . If you use a level 9 spell slot, you can animate or r easser t contr ol over six Ghouls , three Ghasts or Wights , or two Mummies . See the Monster Manual for these stat blocks."
Creation,5th,Illusion,1 minute,30 feet,"V, S, M (a paintbrush)",Special,"You pull wisps of shadow material from the Shadowfell to create an object within range. It is either an object of vegetable matter (soft goods, r ope, wood, and the lik e) or miner al matter (st one, cr ystal, metal, and the lik e). The object must be no lar ger than a 5-foot Cube , and the object must be of a form and material that you have seen. The spell’ s dur ation depends on the object’ s material, as shown in the Materials table. If the object is composed of multiple materials, use the shor test dur ation. Using any object cr eated by this spell as another spell’ s Material component causes the other spell to fail. Materials Material Duration Vegetable matter 24 hours Stone or cr ystal 12 hours Precious metals 1 hour Gems 10 minutes Adamantine or mithr al 1 minute Using a Higher-Le vel Spell Slot. The Cube incr eases by 5 feet for each spell slot le vel abo ve 5."
Crown of Madness,2nd,Enchantment,Action,120 feet,"V, S","Concentration , up to 1 minute","One creature that you can see within range must succeed on a Wisdom sa ving throw or have the Charmed condition for the dur ation. The creature succeeds aut omatically if it isn ’t Humanoid. A spectr al cr own appears on the Charmed target's head, and it must use its action before mo ving on each of its turns to make a melee attack against a creature other than itself that you mentally choose. The tar get can act normally on its turn if you choose no creature or if no creature is within its r each. The tar get r epeats the sa ve at the end of each of its turns, ending the spell on itself on a success. On your later turns, you must take the Magic action to maintain contr ol of the target, or the spell ends."
Crusader's Mantle,3rd,Evocation,Action,Self,V,"Concentration , up to 1 minute","You radiate a magical aur a in a 30-foot Emanation . While in the aur a, you and your allies each deal an extr a 1d4 Radiant damage when hitting with a weapon or an Unarmed Strik e."
Cure Wounds,1st,Abjuration,Action,Touch,"V, S",Instantaneous,A creature you touch r egains a number of Hit Points equal to 2d8 plus your spellcasting ability modifier . Using a Higher-Le vel Spell Slot. The healing incr eases by 2d8 for each spell slot le vel abo ve 1. Spells (D)
Dancing Lights,Cantrip,Illusion,Action,120 feet,"V, S, M (a bit of phosphorus)","Concentration , up to 1 minute","You cr eate up to four t orch-siz e lights within range, making them appear as t orches, lanterns, or glowing orbs that ho ver for the dur ation. Alternativ ely, you combine the four lights into one glowing Medium form that is v aguely humanlik e. Whiche ver form you choose, each light sheds Dim Light in a 10-foot r adius. As a Bonus Action, you can mo ve the lights up to 60 feet to a space within range. A light must be within 20 feet of another light cr eated by this spell, and a light v anishes if it ex ceeds the spell’ s range."
Darkness,2nd,Evocation,Action,60 feet,"V, M (bat fur and a piece of coal)","Concentration , up to 10 minutes","For the dur ation, magical Darkness spreads from a point within range and fills a 15-foot-r adius Sphere. Darkvision can’t see through it, and nonmagical light can ’t illuminate it. Alternativ ely, you cast the spell on an object that isn ’t being worn or carried, causing the Darkness to fill a 15-foot Emanation originating from that object. Co vering that object with something opaque, such as a bowl or helm, blocks the Darkness. If any of this spell’ s area o verlaps with an area of Bright Light or Dim Light created by a spell of le vel 2 or lower , that other spell is dispelled."
Darkvision,2nd,Transmutation,Action,Touch,"V, S, M (a dried carr ot)",8 hours,"For the dur ation, a willing creature you touch has Darkvision with a range of 150 feet."
Daylight,3rd,Evocation,Action,60 feet,"V, S",1 hour,"For the dur ation, sunlight spr eads from a point within range and fills a 60-foot-r adius Sphere. The sunlight’ s area is Bright Light and sheds Dim Light for an additional 60 feet. Alternativ ely, you cast the spell on an object that isn ’t being worn or carried, causing the sunlight to fill a 60-foot Emanation originating from that object. Co vering that object with something opaque, such as a bowl or helm, blocks the sunlight. If any of this spell’ s area o verlaps with an area of Darkness created by a spell of le vel 3 or lower , that other spell is dispelled."
Death Ward,4th,Abjuration,Action,Touch,"V, S",8 hours,"You touch a creature and gr ant it a measur e of pr otection from death. The first time the target would dr op to 0 Hit Points before the spell ends, the target instead dr ops to 1 Hit Point, and the spell ends. If the spell is still in effect when the target is subjected to an effect that would kill it instantly without dealing damage, that effect is negated against the target, and the spell ends."
Delayed Blast Fireball,7th,Evocation,Action,150 feet,"V, S, M (a ball of bat guano and sulfur)","Concentration , up to 1 minute","A beam of y ellow light flashes from you, then condenses at a chosen point within range as a glowing bead for the duration. When the spell ends, the bead explodes, and each creature in a 20-foot-r adius Sphere center ed on that point mak es a Dexterity saving throw. A creature takes Fir e damage equal to the total accumulated damage on a failed sa ve or half as much damage on a successful one. The spell’ s base damage is 12d6, and the damage incr eases by 1d6 whene ver your turn ends and the spell hasn ’t ended. If a creature touches the glowing bead before the spell ends, that creature mak es a Dexterity saving throw. On a failed save, the spell ends, causing the bead to explode. On a successful sa ve, the creature can throw the bead up to 40 feet. If the thr own bead enters a creature’s space or collides with a solid object, the spell ends, and the bead explodes. When the bead explodes, flammable objects in the explosion that ar en’t being worn or carried star t burning . Using a Higher-Le vel Spell Slot. The base damage incr eases by 1d6 for each spell slot le vel abo ve 7."
Demiplane,8th,Conjuration,Action,60 feet,S,1 hour,"You cr eate a shadowy Medium door on a flat solid sur face that you can see within range. This door can be opened and closed, and it leads to a demiplane that is an empty r oom 30 feet in each dimension, made of wood or st one (your choice). When the spell ends, the door v anishes, and any objects inside the demiplane r emain there. Any creatures inside also remain unless they opt to be shunted through the door as it v anishes, landing with the Prone condition in the unoccupied spaces closest to the door ’s former space. Each time you cast this spell, you can cr eate a new demiplane or connect the shadowy door to a demiplane you created with a pr evious casting of this spell. Additionally , if you know the natur e and contents of a demiplane created by a casting of this spell by another creature, you can connect the shadowy door to that demiplane instead."
Destructive Wave,5th,Evocation,Action,Self,V,Instantaneous,"Destructiv e energy ripples outwar d from you in a 30-foot Emanation . Each creature you choose in the Emanation mak es a Constitution saving throw. On a failed sa ve, a target takes 5d6 Thunder damage and 5d6 Radiant or Necr otic damage (your choice) and has the Prone condition. On a successful sa ve, a target takes half as much damage only ."
Detect Evil and Good,1st,Divination,Action,Self,"V, S","Concentration , up to 10 minutes","For the dur ation, you sense the location of any Aberr ation, Celestial, Elemental, F ey, Fiend, or Undead within 30 feet of yourself. you also sense whether the Hallow spell is activ e there and, if so, wher e. The spell is blocked by 1 foot of st one, dir t, or wood; 1 inch of metal; or a thin sheet of lead."
