class,str,dex,con,int,wis,cha,source,version
Barbarian,15,13,14,10,12,8,PHB (2024),2024
Bard,8,14,12,13,10,15,PHB (2024),2024
Cleric,14,8,13,10,15,12,PHB (2024),2024
Druid,8,12,14,13,15,10,PHB (2024),2024
Fighter,15,14,13,8,10,12,PHB (2024),2024
Monk,12,15,13,10,14,8,PHB (2024),2024
Paladin,15,10,13,8,12,14,PHB (2024),2024
Ranger,12,15,13,8,14,10,PHB (2024),2024
Rogue,12,15,13,14,10,8,PHB (2024),2024
Sorcerer,10,13,14,8,12,15,PHB (2024),2024
Warlock,8,14,13,12,10,15,PHB (2024),2024
Wizard,8,12,13,15,14,10,PHB (2024),2024
