"subclass_id","class_id","name","level_gained","summary","source","version"
"SUB_WIZARD_EVOCATION","CLS_WIZARD","Evoker","3","Create Explosive Elemental Effects.","PHB (2024)","2024"
"SUB_WIZARD_ABJURATION","CLS_WIZARD","Abjurer","3","Shield Companions and Banish Foes.","PHB (2024)","2024"
"SUB_WIZARD_DIVINATION","CLS_WIZARD","Diviner","3","Learn the Secrets of the Multiverse.","PHB (2024)","2024"
"SUB_WIZARD_ILLUSION","CLS_WIZARD","Illusionist","3","Weave Subtle Spells of Deception.","PHB (2024)","2024"
"SUB_FIGHTER_BATTLEMASTER","CLS_FIGHTER","Battle Master","3","Master Sophisticated Battle Maneuvers.","PHB (2024)","2024"
"SUB_BARD_LORE","CLS_BARD","College of Lore","3","Plumb the Depths of Magical Knowledge.","PHB (2024)","2024"
"SUB_BARD_DANCE","CLS_BARD","College of Dance","3","Move in Harmony with the Cosmos.","PHB (2024)","2024"
"SUB_BARD_GLAMOUR","CLS_BARD","College of Glamour","3","Weave Beguiling Fey Magic.","PHB (2024)","2024"
"SUB_BARD_VALOR","CLS_BARD","College of Valor","3","Sing the Deeds of Ancient Heroes.","PHB (2024)","2024"
"SUB_BARBARIAN_BERSERKER","CLS_BARBARIAN","Path of the Berserker","3","Channel Rage into Violent Fury.","PHB (2024)","2024"
"SUB_BARBARIAN_WILD_HEART","CLS_BARBARIAN","Path of the Wild Heart","3","Walk in Community with the Animal World.","PHB (2024)","2024"
"SUB_BARBARIAN_WORLD_TREE","CLS_BARBARIAN","Path of the World Tree","3","Trace the Roots and Branches of the Multiverse.","PHB (2024)","2024"
"SUB_BARBARIAN_ZEALOT","CLS_BARBARIAN","Path of the Zealot","3","Rage in Ecstatic Union with a God.","PHB (2024)","2024"
"SUB_CLERIC_LIFE","CLS_CLERIC","Life Domain","3","Soothe the Hurts of the World.","PHB (2024)","2024"
"SUB_CLERIC_LIGHT","CLS_CLERIC","Light Domain","3","Bring Light to Banish Darkness.","PHB (2024)","2024"
"SUB_CLERIC_TRICKERY","CLS_CLERIC","Trickery Domain","3","Make Mischief and Challenge Authority.","PHB (2024)","2024"
"SUB_CLERIC_WAR","CLS_CLERIC","War Domain","3","Inspire Valor and Smite Foes.","PHB (2024)","2024"
"SUB_DRUID_LAND","CLS_DRUID","Circle of the Land","3","Celebrate Connection to the Natural World.","PHB (2024)","2024"
"SUB_DRUID_MOON","CLS_DRUID","Circle of the Moon","3","Adopt Animal Forms to Guard the Wilds.","PHB (2024)","2024"
"SUB_DRUID_SEA","CLS_DRUID","Circle of the Sea","3","Become One with Tides and Storms.","PHB (2024)","2024"
"SUB_DRUID_STARS","CLS_DRUID","Circle of the Stars","3","Harness Secrets Hidden in Constellations.","PHB (2024)","2024"
"SUB_FIGHTER_CHAMPION","CLS_FIGHTER","Champion","3","Pursue Physical Excellence in Combat.","PHB (2024)","2024"
"SUB_FIGHTER_ELDRITCH_KNIGHT","CLS_FIGHTER","Eldritch Knight","3","Support Combat Skills with Arcane Magic.","PHB (2024)","2024"
"SUB_FIGHTER_PSI_WARRIOR","CLS_FIGHTER","Psi Warrior","3","Augment Physical Might with Psionic Power.","PHB (2024)","2024"
"SUB_MONK_OPEN_HAND","CLS_MONK","Warrior of the Open Hand","3","Master Unarmed Combat Techniques.","PHB (2024)","2024"
"SUB_MONK_MERCY","CLS_MONK","Warrior of Mercy","3","Manipulate Forces of Life and Death.","PHB (2024)","2024"
"SUB_MONK_SHADOW","CLS_MONK","Warrior of Shadow","3","Harness Shadow Power for Stealth and Subterfuge.","PHB (2024)","2024"
"SUB_MONK_ELEMENTS","CLS_MONK","Warrior of the Elements","3","Wield Strikes and Bursts of Elemental Power.","PHB (2024)","2024"
